Supplier_Supplier_ID;Supplier_Supplier_name;Supplier_Supplier_adress;Supplier_Contact_name;Supplier_Contact_email;Store_Store_ID;Store_Store_name;Store_Store_adress;Store_Manager_name;Store_Manager_phone;Store_Manager_email;Product_Product_ID;Product_Product_name;Product_Store_ID;Product_Description;Product_Supplier_ID;Product_Unit;Product_Unit_price;Product_Shelf_life_days;Inventory_Inventory_ID;Inventory_Store_ID;Inventory_Product_ID;Inventory_Quantity;Inventory_Last_updated;Order_Order_ID;Order_Order_date;Order_Order_name;Order_Store_ID;Order_Supplier_ID;Order_Status;Order_Contact_name;Order_Contact_phone;Order_Contact_email;Order_Delivery_date_expected
SUP001;Михайлюк-Корбут;шосе Леваневського, буд. 6 кв. 25, Буча, 27630;пан Павло Чередник;feofan81@email.ua;S001;Хомик Inc;сквер Фабрична, буд. 980 кв. 46, Первомайськ, 41824;Вікторія Харченко;+38 099 081-96-61;iaroslav10@shylo.укр;P001;Suscipit;S082;Exercitationem vel quis possimus animi inventore distinctio esse.;SUP060;л;46,4;327;I001;S025;P084;139;2025-04-08;O001;2025-01-11;magni;S075;SUP058;Скасовано;Варвара Бабиченко;491 14 45;korsunhennadii@rudko-yurchenko.ua;2025-01-20
SUP002;Дрозденко, Корпанюк and Свириденко;проспект Басейна, буд. 97 кв. 0, Сіверськ, 57740;Нестор Забарний;hlibhres@zaiets-zubko.net;S002;Овсієнко-Верховинець;провулок Єврейська, буд. 14, Ялта, 58433;Ада Ющенко;317-05-79;ivasiukiefrem@meta.ua;P002;Impedit;S015;Odit blanditiis quod.;SUP049;шт;111,89;219;I002;S033;P089;223;2025-02-21;O002;2025-04-18;consequatur;S004;SUP003;Скасовано;Адам Пʼятаченко;+38 070 729-66-48;oresttverdokhlib@email.ua;2025-01-01
SUP003;Іващенко, Хоменко and Колесниченко;сквер Сашка Хорошенка, буд. 8, Інкерман, 26309;Михайло Данько;rozaliiakolisnychenko@meta.ua;S003;Затовканюк Inc;шосе Аеродромний 2-й, буд. 64 кв. 69, Марганець , 49531;Левко Сиротенко;772 07 56;ivanenkostepan@meta.ua;P003;Facere;S004;Debitis et fugit voluptatem.;SUP035;л;36,63;144;I003;S006;P001;248;2025-02-14;O003;2025-04-08;amet;S040;SUP012;Скасовано;Владислав Рябошапка;274 14 70;amvrosii00@shvachka-laba.com;2025-01-31
SUP004;Бабій-Бебешко;парк Теліги Олени, буд. 941 кв. 4, Першотравенськ, 19104;Хома Джус;symonvakhnii@meta.ua;S004;Устенко, Піддубний and Тимчук;провулок Слобідська, буд. 330, Сокаль, 53919;пані Марта Артюх;017 886-84-62;varvarakarpenko@davymuka-udovychenko.info;P004;Debitis;S095;Illo vitae porro.;SUP082;кг;44,86;25;I004;S091;P097;14;2025-04-12;O004;2025-05-07;nesciunt;S074;SUP038;Очікується;Соломія Ґжицький;+38 012 226-80-40;dlavrenko@rubets-babko.ua;2025-03-31
SUP005;Бабій Ltd;набережна Академіка Ясиновського, буд. 482 кв. 69, Татарбунари, 109430;пан Іван Зінчук;vyshniakamvrosii@gov.ua;S005;Ващук Inc;парк Рєпіна, буд. 221, Апостолове, 34576;Антон Гриценко;394 39 59;fsomko@karas-dubenko.ua;P005;Doloremque;S036;Modi eaque iusto.;SUP089;кг;97,9;4;I005;S056;P099;199;2025-02-02;O005;2025-04-18;rem;S087;SUP029;Скасовано;Гліб Овчаренко;+38 047 685-21-32;tkacholeksandr@kozak-aleksiuk.org;2025-03-13
SUP006;Опанасенко, Журба and Стельмах;сквер Авангардна, буд. 0, Кам'янець-Подільський, 102685;Пріска Ісаєвич;dakhnoviacheslav@mykhaliuk.com;S006;Ващук, Бебешко and Парасюк;набережна Кедровий, буд. 418, Дніпрорудне, 77992;Леон Іщак;015 248 19 51;pvertyporokh@nestaiko.укр;P006;Provident;S032;Soluta quisquam minus maiores.;SUP072;шт;176,15;173;I006;S001;P014;172;2025-05-02;O006;2025-03-15;suscipit;S049;SUP052;Виконано;Олекса Юрчишин;+38 043 882-14-09;aonishchuk@meta.ua;2025-02-11
SUP007;Тригуб-Токар;парк Український 1-й, буд. 64, Ізяслав, 92279;пан Охрім Бабич;parasiukfedir@neporozhnii.org;S007;Величко Group;сквер Тираспольська, буд. 448 кв. 96, Генічеськ, 98662;Златослава Лубенець;+38 004 565-01-09;ihorsachenko@email.ua;P007;Sed;S029;Veniam commodi praesentium.;SUP029;шт;24,32;69;I007;S067;P100;342;2025-02-03;O007;2025-04-23;distinctio;S051;SUP089;Виконано;Віолетта Єфименко;+38 050 522-15-56;illia20@atroshchenko.org;2025-02-24
SUP008;Мазепа Inc;площа Лінія 23-тя, буд. 6, Зоринськ, 26628;Адам Удовиченко;mykytamatiash@email.ua;S008;Власенко-Калениченко;проспект Псковський, буд. 7 кв. 00, Галич, 24163;пані Володимира Забашта;+38 051 240 56 42;iukhymenkoievhen@gerus.org;P008;Suscipit;S018;Facilis alias voluptatibus quod voluptatem quidem.;SUP088;кг;163,52;329;I008;S069;P055;347;2025-04-02;O008;2025-04-21;officia;S092;SUP032;Виконано;Варфоломій Ященко;836-96-89;skonoplenko@gmail.com;2025-03-21
SUP009;Базилевський Ltd;сквер Учнівська, буд. 314, Луганськ, 109026;Герман  Дахно;malykorkhyp@i.ua;S009;Савенко Inc;сквер Райдужна, буд. 23, Прилуки, 58584;Богдан Артимишин;012 77 11;vladyslav66@nehoda-ovsiienko.org;P009;Nostrum;S095;Consectetur quod nam explicabo.;SUP042;кг;172,63;137;I009;S088;P029;408;2025-03-21;O009;2025-03-10;minima;S026;SUP040;Виконано;Давид Чабан;077 234 44 30;xpelekh@i.ua;2025-03-22
SUP010;Шовкопляс-Приходько;узвіз Тимірязєва, буд. 55, Лутугине, 71190;Стефан Базилевич;fvashchenko@ukr.net;S010;Черненко and Sons;шосе Південна дорога, буд. 8, Тлумач, 51516;Ярослава Швайка;+38 058 685 21 90;allaazhazha@yashchenko.info;P010;Quae;S014;Quos deleniti accusantium libero dolore officiis.;SUP099;шт;28,6;85;I010;S093;P023;207;2025-02-22;O010;2025-01-30;ex;S010;SUP085;Скасовано;Богданна Гузь;+38 060 235-08-20;semenchenkonadiia@gov.ua;2025-01-29
